# ICI4 Andoya U3 launcer 83/340
# Time       Alt       Lat       Lon       Vel   Vel. El   Vel. Az
#  sec         m       deg       deg       m/s       deg       deg
  0.00      11.2  69.29399  16.01847       0.0    83.000   340.000
  0.10      11.1  69.29399  16.01847       1.6   -83.000   160.000
  0.20      10.9  69.29399  16.01847       3.0   -83.000   160.000
  0.30      10.6  69.29399  16.01847       1.7   -83.000   160.000
  0.40      10.7  69.29399  16.01847       3.3    83.000   340.000
  0.50      11.3  69.29399  16.01847       9.0    83.000   340.000
  0.60      12.5  69.29399  16.01847      14.4    83.000   340.000
  0.70      14.2  69.29399  16.01847      19.8    83.000   340.000
  0.80      16.4  69.29400  16.01847      25.1    83.000   340.000
  0.90      19.1  69.29400  16.01847      30.4    83.000   340.000
  0.99      22.1  69.29400  16.01847      35.2    83.000   340.000
  0.99      22.1  69.29400  16.01846      35.2    83.000   340.000
  1.00      22.4  69.29401  16.01846      35.6    82.983   340.000
  1.10      26.2  69.29401  16.01846      40.8    82.800   339.998
  1.20      30.5  69.29401  16.01845      45.9    82.635   339.997
  1.30      35.3  69.29401  16.01845      50.9    82.485   339.996
  1.40      40.6  69.29402  16.01844      56.0    82.345   339.994
  1.50      46.4  69.29403  16.01843      61.0    82.216   339.993
  1.60      52.7  69.29404  16.01842      65.9    82.095   339.992
  1.70      59.5  69.29404  16.01842      70.9    81.981   339.991
  1.80      66.7  69.29405  16.01841      75.9    81.873   339.989
  1.90      74.5  69.29406  16.01840      80.8    81.770   339.988
  2.00      82.7  69.29408  16.01839      85.8    81.673   339.987
  2.10      91.5  69.29408  16.01838      90.7    81.580   339.986
  2.20     100.7  69.29410  16.01837      95.7    81.491   339.985
  2.30     110.4  69.29411  16.01835     100.6    81.406   339.984
  2.40     120.6  69.29412  16.01834     105.5    81.323   339.983
  2.50     131.3  69.29414  16.01832     110.5    81.244   339.982
  2.60     142.4  69.29415  16.01831     115.5    81.168   339.981
  2.70     154.1  69.29417  16.01829     120.4    81.094   339.980
  2.80     166.2  69.29418  16.01828     125.4    81.023   339.979
  2.90     178.8  69.29420  16.01826     130.4    80.954   339.978
  3.00     192.0  69.29421  16.01824     135.4    80.887   339.977
  3.10     205.6  69.29424  16.01822     140.4    80.822   339.976
  3.20     219.7  69.29425  16.01820     145.5    80.759   339.975
  3.30     234.3  69.29427  16.01818     150.5    80.698   339.974
  3.40     249.4  69.29430  16.01816     155.6    80.638   339.973
  3.50     265.0  69.29431  16.01814     160.6    80.580   339.972
  3.60     281.1  69.29433  16.01812     165.7    80.523   339.971
  3.70     297.7  69.29436  16.01809     170.8    80.468   339.970
  3.80     314.8  69.29439  16.01807     175.9    80.414   339.969
  3.90     332.4  69.29441  16.01804     181.0    80.361   339.969
  4.00     350.5  69.29443  16.01801     186.1    80.309   339.968
  4.10     369.1  69.29446  16.01799     191.3    80.259   339.967
  4.20     388.2  69.29449  16.01796     196.4    80.210   339.966
  4.30     407.8  69.29452  16.01793     201.6    80.161   339.965
  4.40     427.9  69.29455  16.01790     206.8    80.114   339.964
  4.50     448.5  69.29458  16.01787     212.0    80.068   339.963
  4.60     469.7  69.29461  16.01783     217.2    80.022   339.963
  4.70     491.3  69.29464  16.01780     222.4    79.978   339.962
  4.80     513.5  69.29468  16.01777     227.7    79.934   339.961
  4.90     536.2  69.29471  16.01773     233.0    79.891   339.960
