# sec glat glon
0 69.29406 16.01887
1 69.29411 16.01886
2 69.29432 16.01884
3 69.29469 16.01880
4 69.29525 16.01873
5 69.29599 16.01865
6 69.29687 16.01855
7 69.29775 16.01844
8 69.29861 16.01834
9 69.29944 16.01824
10 69.30026 16.01815
11 69.30106 16.01805
12 69.30185 16.01796
13 69.30261 16.01787
14 69.30337 16.01778
15 69.30411 16.01769
16 69.30483 16.01760
17 69.30555 16.01752
18 69.30625 16.01743
19 69.30695 16.01735
20 69.30764 16.01727
21 69.30833 16.01719
22 69.30901 16.01710
23 69.30968 16.01702
24 69.31035 16.01694
25 69.31113 16.01685
26 69.31220 16.01672
27 69.31362 16.01655
28 69.31542 16.01633
29 69.31761 16.01607
30 69.32016 16.01576
31 69.32285 16.01543
32 69.32550 16.01511
33 69.32813 16.01479
34 69.33073 16.01448
35 69.33340 16.01416
36 69.33625 16.01381
37 69.33932 16.01344
38 69.34263 16.01304
39 69.34619 16.01261
40 69.35003 16.01214
41 69.35414 16.01165
42 69.35851 16.01112
43 69.36316 16.01056
44 69.36807 16.00996
45 69.37327 16.00934
46 69.37874 16.00868
47 69.38448 16.00798
48 69.39051 16.00725
49 69.39681 16.00649
50 69.40339 16.00570
51 69.41025 16.00487
52 69.41739 16.00400
53 69.42481 16.00311
54 69.43250 16.00218
55 69.44045 16.00122
56 69.44869 16.00022
57 69.45722 15.99919
58 69.46606 15.99812
59 69.47522 15.99701
60 69.48468 15.99587
61 69.49443 15.99469
62 69.50446 15.99347
63 69.51472 15.99223
64 69.52506 15.99098
65 69.53540 15.98972
66 69.54574 15.98847
67 69.55608 15.98721
68 69.56642 15.98596
69 69.57676 15.98471
70 69.58709 15.98345
71 69.59743 15.98220
72 69.60776 15.98095
73 69.61810 15.97969
74 69.62842 15.97844
75 69.63875 15.97719
76 69.64907 15.97594
77 69.65939 15.97469
78 69.66970 15.97344
79 69.68001 15.97219
80 69.69031 15.97094
81 69.70061 15.96969
82 69.71090 15.96845
83 69.72119 15.96720
84 69.73147 15.96595
85 69.74184 15.96469
86 69.75243 15.96337
87 69.76328 15.96198
88 69.77442 15.96052
89 69.78587 15.95899
90 69.79764 15.95738
91 69.80975 15.95569
92 69.82219 15.95393
93 69.83498 15.95209
94 69.84812 15.95017
95 69.86164 15.94817
96 69.87553 15.94610
97 69.88982 15.94393
98 69.90452 15.94168
99 69.91964 15.93933
100 69.93522 15.93687
101 69.95129 15.93430
102 69.96789 15.93161
103 69.98506 15.92878
104 70.00289 15.92579
105 70.02109 15.92272
106 70.03928 15.91964
107 70.05745 15.91656
108 70.07561 15.91349
109 70.09375 15.91041
110 70.11186 15.90733
111 70.12996 15.90426
112 70.14805 15.90118
113 70.16611 15.89811
114 70.18415 15.89504
115 70.20218 15.89197
116 70.22019 15.88890
117 70.23818 15.88583
118 70.25615 15.88276
119 70.27410 15.87969
120 70.29204 15.87662
121 70.30996 15.87356
122 70.32786 15.87049
123 70.34574 15.86742
124 70.36361 15.86436
125 70.38145 15.86130
126 70.39928 15.85823
127 70.41710 15.85517
128 70.43489 15.85211
129 70.45267 15.84905
130 70.47043 15.84599
131 70.48818 15.84294
132 70.50590 15.83988
133 70.52361 15.83682
134 70.54130 15.83377
135 70.55898 15.83071
136 70.57664 15.82766
137 70.59428 15.82461
138 70.61191 15.82155
139 70.62952 15.81850
140 70.64711 15.81545
141 70.66469 15.81240
142 70.68225 15.80936
143 70.69979 15.80631
144 70.71732 15.80326
145 70.73483 15.80022
146 70.75232 15.79717
147 70.76980 15.79413
148 70.78727 15.79109
149 70.80471 15.78804
150 70.82215 15.78500
151 70.83956 15.78196
152 70.85696 15.77892
153 70.87435 15.77589
154 70.89171 15.77285
155 70.90907 15.76981
156 70.92641 15.76678
157 70.94373 15.76374
158 70.96103 15.76071
159 70.97833 15.75768
160 70.99560 15.75465
161 71.01286 15.75162
162 71.03011 15.74859
163 71.04734 15.74556
164 71.06456 15.74253
165 71.08176 15.73951
166 71.09895 15.73648
167 71.11612 15.73346
168 71.13328 15.73044
169 71.15042 15.72742
170 71.16755 15.72439
171 71.18466 15.72137
172 71.20176 15.71836
173 71.21884 15.71534
174 71.23591 15.71232
175 71.25297 15.70931
176 71.27001 15.70629
177 71.28704 15.70328
178 71.30405 15.70027
179 71.32105 15.69725
180 71.33804 15.69424
181 71.35501 15.69124
182 71.37197 15.68823
183 71.38891 15.68522
184 71.40584 15.68221
185 71.42276 15.67921
186 71.43966 15.67621
187 71.45655 15.67320
188 71.47343 15.67020
189 71.49029 15.66720
190 71.50714 15.66420
191 71.52397 15.66121
192 71.54079 15.65821
193 71.55760 15.65521
194 71.57440 15.65222
195 71.59118 15.64923
196 71.60795 15.64623
197 71.62471 15.64324
198 71.64145 15.64025
199 71.65818 15.63726
200 71.67490 15.63428
201 71.69160 15.63129
202 71.70829 15.62830
203 71.72497 15.62532
204 71.74164 15.62234
205 71.75829 15.61936
206 71.77494 15.61638
207 71.79157 15.61340
208 71.80818 15.61042
209 71.82479 15.60744
210 71.84138 15.60447
211 71.85796 15.60149
212 71.87453 15.59852
213 71.89108 15.59555
214 71.90762 15.59258
215 71.92415 15.58961
216 71.94067 15.58664
217 71.95718 15.58367
218 71.97368 15.58071
219 71.99016 15.57774
220 72.00663 15.57478
221 72.02309 15.57182
