# sec glat glon
0 69.29422 16.01925
1 69.29427 16.01924
2 69.29447 16.01921
3 69.29482 16.01916
4 69.29536 16.01908
5 69.29608 16.01897
6 69.29693 16.01884
7 69.29778 16.01872
8 69.29862 16.01859
9 69.29944 16.01846
10 69.30024 16.01834
11 69.30103 16.01822
12 69.30181 16.01810
13 69.30257 16.01799
14 69.30333 16.01787
15 69.30407 16.01776
16 69.30480 16.01765
17 69.30552 16.01753
18 69.30624 16.01742
19 69.30694 16.01732
20 69.30765 16.01721
21 69.30834 16.01710
22 69.30903 16.01699
23 69.30972 16.01689
24 69.31040 16.01678
25 69.31108 16.01668
26 69.31176 16.01657
27 69.31244 16.01647
28 69.31311 16.01636
29 69.31391 16.01624
30 69.31503 16.01607
31 69.31656 16.01583
32 69.31852 16.01553
33 69.32093 16.01515
34 69.32377 16.01472
35 69.32676 16.01425
36 69.32971 16.01380
37 69.33264 16.01334
38 69.33562 16.01289
39 69.33876 16.01240
40 69.34209 16.01189
41 69.34560 16.01135
42 69.34929 16.01078
43 69.35318 16.01018
44 69.35725 16.00955
45 69.36151 16.00890
46 69.36597 16.00821
47 69.37063 16.00749
48 69.37549 16.00675
49 69.38057 16.00597
50 69.38587 16.00515
51 69.39140 16.00431
52 69.39718 16.00342
53 69.40320 16.00250
54 69.40949 16.00153
55 69.41605 16.00053
56 69.42288 15.99948
57 69.43001 15.99839
58 69.43743 15.99725
59 69.44517 15.99607
60 69.45323 15.99484
61 69.46162 15.99356
62 69.47033 15.99222
63 69.47939 15.99084
64 69.48878 15.98940
65 69.49853 15.98791
66 69.50862 15.98637
67 69.51904 15.98478
68 69.52977 15.98314
69 69.54079 15.98146
70 69.55202 15.97974
71 69.56339 15.97800
72 69.57480 15.97626
73 69.58620 15.97452
74 69.59759 15.97278
75 69.60897 15.97104
76 69.62035 15.96931
77 69.63172 15.96757
78 69.64309 15.96584
79 69.65445 15.96411
80 69.66580 15.96237
81 69.67715 15.96064
82 69.68849 15.95892
83 69.69983 15.95719
84 69.71116 15.95546
85 69.72248 15.95374
86 69.73380 15.95202
87 69.74511 15.95029
88 69.75642 15.94857
89 69.76772 15.94685
90 69.77902 15.94514
91 69.79031 15.94342
92 69.80160 15.94171
93 69.81288 15.93999
94 69.82415 15.93828
95 69.83542 15.93657
96 69.84669 15.93486
97 69.85795 15.93316
98 69.86920 15.93145
99 69.88045 15.92975
100 69.89169 15.92804
101 69.90293 15.92634
102 69.91417 15.92464
103 69.92539 15.92295
104 69.93662 15.92125
105 69.94784 15.91955
106 69.95905 15.91786
107 69.97026 15.91617
108 69.98156 15.91444
109 69.99311 15.91264
110 70.00494 15.91073
111 70.01708 15.90873
